Rank,Name,Country,Sector,CAGR,Revenue2020,Revenue2017,Employees2020,Employees2017,FoundingYear,Change % in Employees
688,Solaris and more,Germany,Energy,49.14,4692660,1414501,30,13,2011,56.666666666666664
690,Opteamis,France,Support Services,49.1,13856500,4180523,35,12,2005,65.71428571428571
691,Codenor,Spain,Construction,49.08,6385196,1926967,20,10,2010,50.0
694,Bacci,Spain,Fashion,49.03,24048302,7265350,14,19,2003,-35.714285714285715
700,Alba,Italy,Energy,48.78,3299330,1001740,30,12,2010,60.0
706,Fairfax and Favor,UK,Fashion,48.4,18178322,5602279,47,13,2013,72.3404255319149
717,Wiwie Transport,Germany,Transport,47.83,4200000,1300000,25,10,2016,60.0
718,Mevas Auto Center,Romania,Automobiles,47.81,2595034,834708,31,23,2003,25.806451612903224
719,BK Beachhouse Mode,Germany,Retail,47.79,5172479,1602458,35,21,2015,40.0
724,PARIS HERBES,France,Agricultural Commodities,47.63,12934943,4020469,25,15,2015,40.0
725,Interlog Logistic,France,Transport,47.62,5480946,1703819,28,37,2015,-32.142857142857146
731,ATLAS Innovative Engineering,Spain,Energy,47.26,3495981,1094666,15,12,2014,20.0
733,DATALYO,France,Technology,47.18,3544255,1111687,36,16,2014,55.55555555555556
734,Signify Technology,UK,Management Consulting,47.17,2547992,805029,29,14,2016,51.724137931034484
739,Brainpull,Italy,Advertising,46.93,4264120,1344240,29,10,2012,65.51724137931035
750,HiFi extra,Germany,Retail,46.61,49190436,15610826,32,14,2016,56.25
756,Lunos,Slovenia,Technology,46.26,6356404,2031522,16,11,2010,31.25
758,Trident Lifting Solutions Ltd,UK,Construction,46.22,15846632,5105700,14,12,2016,14.285714285714285
760,eu-bay Commerce,Germany,Retail,46.16,8122686,2601485,20,10,2003,50.0
764,3A Informatica,Italy,Telecoms,45.92,1970000,633990,33,19,2005,42.42424242424242
765,EMSPROTO,France,Ecommerce,45.91,3136947,1009846,22,10,2014,54.54545454545454
767,Saico,Italy,Construction,45.71,6737600,2177950,23,13,2013,43.47826086956522
769,Ogrodosfera.pl,Poland,Ecommerce,45.61,13256472,4693330,23,12,2011,47.82608695652174
770,SVTI,France,Industrial Goods,45.58,3981300,1290312,30,17,2010,43.333333333333336
771,Enhancers,Italy,Technology,45.53,3352210,1087520,38,13,2011,65.78947368421053
780,Gapps,Finland,Technology,45.1,8707000,2850000,34,23,2010,32.35294117647059
785,MON CHASSEUR IMMO,France,Property,44.6,4794423,1585727,28,13,2012,53.57142857142857
788,Cellarius,Hungary,Sales & Marketing,44.49,2571079,989785,14,10,2004,28.57142857142857
790,Softneta,Lithuania,Health,44.4,1778249,590642,30,24,2007,20.0
793,Spedition Ibov,Germany,Transport,44.29,3424863,1140000,30,10,2013,66.66666666666666
794,MyPostcard.com,Germany,Retail,44.23,6358307,2119022,25,21,2014,16.0
797,Mobili Fiver,Italy,Interiors,44.13,11897820,3973460,50,23,1999,54.0
798,KLC DESAMIANTAGE,France,Construction,44.12,6182419,2065220,46,11,2015,76.08695652173914
806,Jointly il welfare condiviso,Italy,Support Services,43.72,2400550,808700,34,18,2014,47.05882352941176
807,ABTOT Mark & Anläggning AB,Sweden,Construction,43.57,9983094,3450305,23,10,2012,56.52173913043478
808,DUSAPRO Immobilien,Germany,Property,43.45,33903865,11484801,36,10,2012,72.22222222222221
811,Agile Lab,Italy,Technology,43.35,5590450,1897650,43,15,2013,65.11627906976744
817,PROTEXTYL,France,Retail,43.07,5324116,1818032,22,12,2011,45.45454545454545
818,SP architecte,France,Construction,43.07,2825876,964998,18,14,2009,22.22222222222222
824,Exadi,Spain,Sales and Marketing,42.65,42525086,14649568,44,21,2008,52.27272727272727
825,Fiber-Service-Gesellschaft,Germany,Telecoms,42.63,4049655,1395607,29,10,2014,65.51724137931035
827,Worldwide Fishing Company,Spain,Food & Beverage,42.58,140442673,48449141,30,12,2016,60.0
828,Doctor Hail spa,Italy,Automobiles,42.57,18101114,6246592,43,26,2013,39.53488372093023
837,ARCADIA Investment,Germany,Property,42.19,8102218,2818652,38,12,2012,68.42105263157895
840,DoIT,Italy,Technology,42.08,3040000,1060000,35,20,2014,42.857142857142854
844,blue networks,Germany,Technology,41.84,6626713,2322241,47,23,2002,51.06382978723404
845,N. Schwegler,Germany,Construction,41.82,10514000,3686000,35,20,2009,42.857142857142854
848,Licht + Strom,Germany,Technology,41.54,4039340,1424633,30,18,2007,40.0
849,Die Autowelt,Germany,Automobiles,41.49,16754654,5915499,40,15,2009,62.5
851,Cepo,Italy,Industrial Goods,41.42,4503670,1592170,22,13,2000,40.909090909090914
853,89up,UK,Advertising,41.35,1814237,647020,26,11,2009,57.692307692307686
857,Halo Service Solutions,UK,Technology,41.28,5037087,1799189,40,12,1994,70.0
861,Rheinische Scheidestätte,Germany,Retail,41.1,83044963,29564866,47,19,2012,59.57446808510638
865,Zinox Laser,Italy,Interiors,41.02,6364000,2269510,47,30,2015,36.17021276595745
866,Tera Automation,Italy,Industrial Goods,41.01,4987860,1778890,20,14,2013,30.0
867,Innova Hts,Italy,Health,40.98,8792400,3137630,16,12,2014,25.0
869,Teal Partners,Belgium,Technology,40.84,3873750,1386701,23,13,2015,43.47826086956522
870,LM Medical Division,Italy,Health,40.82,11281040,4040060,47,16,2010,65.95744680851064
871,BEC,Germany,Technology,40.81,7843183,2809036,47,25,2003,46.808510638297875
874,CO.GE.SA. Costruzioni Generali Saba,Italy,Construction,40.63,3453730,1241760,22,16,2009,27.27272727272727
875,Skärgårdstunnan/Skargards,Sweden,Ecommerce,40.62,15082088,5547537,20,13,2010,35.0
877,Polarstern,Germany,Energy,40.45,30270074,10925375,40,25,2011,37.5
880,Stikets,Spain,Ecommerce,40.32,9318626,3372820,39,25,2010,35.8974358974359
881,CampuStore,Italy,Education,40.23,34410600,12479120,18,18,1994,0.0
882,Ars Futura,Croatia,Technology,40.22,1580154,574487,27,14,2013,48.148148148148145
887,yes!devs,Germany,Technology,40.1,2200000,800000,37,10,2016,72.97297297297297
888,Hydroflex Group,Germany,Retail,40.1,13166000,4788000,36,19,2009,47.22222222222222
890,MiniCRM,Hungary,Technology,40.03,2232347,944107,26,26,2012,0.0
891,CNQ Consorzio Nazionale Qualità,Italy,Waste management & recycling,40.03,2151050,783460,39,13,2001,66.66666666666666
892,Accolade,Czech Republic,Property,39.98,83981636,31477723,30,10,2010,66.66666666666666
894,SYMBIOSE Informatique,France,Technology,39.93,33080096,12074454,32,28,1991,12.5
897,Henco,Germany,Retail,39.82,6970679,2550263,48,25,2012,47.91666666666667
900,Sapiegos Klinika,Lithuania,Health,39.67,1578677,579436,24,14,2014,41.66666666666667
902,BE CLOUD,France,Support Services,39.61,10371094,3811605,49,22,2012,55.10204081632652
913,Sano-Técnica,Portugal,Health,39.34,4972658,1838120,13,12,1938,7.6923076923076925
914,möbelando,Germany,Retail,39.34,16692390,6170577,24,16,2013,33.33333333333333
915,Democom,Italy,Telecoms,39.31,3347950,1238210,37,12,2011,67.56756756756756
919,Spartivento Yachts & Charter,Italy,Travel & Leisure,39.04,5194630,1932580,34,12,2000,64.70588235294117
921,TTP HOLDING,Germany,Support Services,39.02,37607000,13997000,32,28,2009,12.5
925,LABEL EXPERIENCE,France,Financial Services,38.91,1756470,655366,27,11,2016,59.25925925925925
927,Medicalfit,Spain,Health,38.86,2378517,888395,35,15,2008,57.14285714285714
928,Nuova MG,Italy,Industrial Goods,38.83,2126840,794770,26,23,2017,11.538461538461538
930,Alma Entreprise,France,Construction,38.82,13438347,5023015,31,33,2003,-6.451612903225806
935,Schreinerei Huber,Germany,Construction,38.65,2629044,986286,21,18,2010,14.285714285714285
936,ISR,France,Technology,38.62,4637943,1741112,12,12,1996,0.0
938,Rivile,Lithuania,Technology,38.58,3905042,1467195,24,20,1992,16.666666666666664
946,Coptrz,UK,Aerospace & Defence,38.34,6297471,2395445,22,10,2016,54.54545454545454
947,Nurole,UK,Technology,38.34,3249493,1236098,35,15,2014,57.14285714285714
948,ABAO Energy,Germany,Construction,38.28,2406917,910386,15,10,2016,33.33333333333333
949,Welol Next,Italy,Technology,38.2,2685440,1017320,32,16,2011,50.0
951,Café du Cycliste,France,Ecommerce,38.11,7445865,2826571,20,14,2009,30.0
956,Zero,Italy,Energy,37.95,42000000,16000000,37,15,2014,59.45945945945946
960,Kronos,Italy,Fashion,37.81,23579000,9009270,21,15,2009,28.57142857142857
961,LaSaponaria,Italy,Beauty,37.79,6304690,2409730,22,11,2007,50.0
963,IMINT Vidhance,Sweden,Technology,37.78,4851538,1897113,27,26,2007,3.7037037037037033
964,Arte e Passione,Italy,Restaurants,37.76,1671730,639410,47,18,2016,61.702127659574465
969,SIAN Wholesale Ltd,UK,Transport,37.51,74719260,28939861,50,23,2003,54.0
972,BullionVault,UK,Precious metals,37.47,16196046,6278456,34,31,2003,8.823529411764707
975,Scribbr,The Netherlands,Education,37.39,8862818,3417536,39,22,2012,43.58974358974359
981,Regular Trade,Germany,Retail,37.13,11671000,4526000,25,15,2010,40.0
983,Confezioni Velvet,Italy,Fashion,37.09,3355870,1302640,21,21,2015,0.0
984,Activ Bilanz,Germany,Property,37.07,17286985,6712146,10,12,1998,-20.0
986,Majar – Matzaridis Bros,Greece,Technology,36.99,13224865,5144442,19,13,1994,31.57894736842105
990,Wingeco,Italy,Industrial Goods,36.75,3407310,1332330,22,12,2016,45.45454545454545
991,Meblobranie.pl,Poland,Ecommerce,36.71,19295429,6909799,25,12,2011,52.0
995,Celeritas,Spain,Transport,36.61,58139933,22805398,27,10,2006,62.96296296296296
996,peopleForecast,Germany,Technology,36.59,2086411,818658,45,15,2014,66.66666666666666
997,Digitalpa,Italy,Management Consulting,36.59,1731340,679440,12,41,2014,-241.66666666666666
